number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_layers,params_d_model,params_dropout,params_e_layers,params_factor,params_mix,params_n_heads,state
0,0.06276776641607285,2025-04-14 21:54:10.318788,2025-04-14 22:50:57.589668,0 days 00:56:47.270880,512,6,64,0.14667686330808488,3,3,False,2,COMPLETE
1,0.05736063793301582,2025-04-14 22:50:57.590256,2025-04-15 00:02:04.063920,0 days 01:11:06.473664,1024,6,256,0.11656206389607444,1,7,False,8,COMPLETE
2,0.06938952207565308,2025-04-15 00:02:04.064478,2025-04-15 00:44:03.217770,0 days 00:41:59.153292,1024,3,64,0.24477254616968194,2,3,False,2,COMPLETE
3,0.06286566704511642,2025-04-15 00:44:03.218703,2025-04-15 01:25:47.723489,0 days 00:41:44.504786,1024,4,64,0.08710548923141707,1,5,True,8,COMPLETE
4,0.06422510743141174,2025-04-15 01:25:47.724250,2025-04-15 02:53:34.783121,0 days 01:27:47.058871,512,6,256,0.257774894933138,4,7,True,2,COMPLETE
